Zeit,CPU_Prozent,RAM_Nutzung
11:27:14,1.31%,408.5MiB / 1GiB
11:27:16,0.58%,408.5MiB / 1GiB
11:27:19,0.32%,408.7MiB / 1GiB
11:27:22,2.07%,408.6MiB / 1GiB
11:27:24,378.41%,417MiB / 1GiB
11:27:28,290.21%,417.7MiB / 1GiB
11:27:30,292.45%,418.2MiB / 1GiB
11:27:33,291.92%,418.2MiB / 1GiB
11:27:35,290.42%,417.6MiB / 1GiB
11:27:38,289.61%,418.1MiB / 1GiB
11:27:41,291.93%,418.2MiB / 1GiB
11:27:44,289.42%,417.8MiB / 1GiB
11:27:46,287.58%,418.3MiB / 1GiB
11:27:49,289.19%,418.4MiB / 1GiB
11:27:52,286.03%,417.9MiB / 1GiB
11:27:54,196.60%,420MiB / 1GiB
11:27:57,195.59%,419.4MiB / 1GiB
11:28:00,196.46%,419.7MiB / 1GiB
11:28:03,194.94%,419.4MiB / 1GiB
11:28:05,196.47%,419.7MiB / 1GiB
11:28:08,197.04%,419.5MiB / 1GiB
11:28:11,195.68%,419.5MiB / 1GiB
11:28:13,198.41%,419.5MiB / 1GiB
11:28:16,209.80%,419.8MiB / 1GiB
11:28:19,199.13%,419.8MiB / 1GiB
11:28:22,197.07%,419.8MiB / 1GiB
11:28:24,0.40%,420.3MiB / 1GiB
11:28:28,1.24%,420.1MiB / 1GiB
11:28:30,0.80%,420.1MiB / 1GiB
11:28:33,0.28%,419.9MiB / 1GiB
